ACCT_ID,COUNTRY_CODE,LANGUAGE_CODE,OPT_IN_FLAG
3355791329948479843,US,en,0
2336651545815089151,US,en,0
3166533477290609633,US,en,1
3881168296535913732,US,en,0
1993266192576863050,US,en,1
1706770379270229121,US,en,0
2970470959928365696,CL,es,1
1221795361317448076,US,en,1
3081895469608230018,CA,en,1
2637149667894543832,US,en,0
562720493093839652,CA,en,1
2762722526878602086,US,en,0
3450645774065422699,BR,pt,1
1550625208109313605,CA,en,0
787090524377177556,US,en,1
2477604921489083361,US,en,1
2620952582589742349,US,en,1
1272423104571629470,BR,pt,0
2132116168676031613,US,en,1
1677426576103574715,US,en,1
3732725190844780298,CA,fr,0
780841445194457558,US,en,0
220505745879742242,US,en,1
2817185501518450395,US,en,1
4488904899188150533,BR,pt,0
3370216520405973141,US,en,1
1378817932343902341,US,en,0
2527985475672528668,US,en,0
850551656937564524,US,en,1
4005326865934839178,US,en,1
3975731941478965428,CA,en,1
1284993697499300337,US,en,1
4033529381741127177,US,en,1
4132606635250729775,US,en,0
1504306916115140292,US,en,0
2370944296122748213,US,en,1
952019200158211404,US,en,1
1271302736871964126,US,en,1
210947906027620953,US,en,0
3987516782538870118,CA,fr,0
3435831640551905548,US,en,0
1491096889507696686,US,en,0
4074954056770515623,US,en,0
575588229929042581,US,en,0
3852674247565645730,US,en,1
3217275115573252125,US,en,0
3382808914096274100,US,en,1
3798002150260840390,US,en,1
3464497880207557806,US,en,1
4083706398506666194,US,en,1
1263503647714222317,CA,en,0
1088960292913943004,US,en,1
3495944231650050479,US,en,0
1590021681484386238,US,en,1
1629095150386382320,US,en,1
1610003219072257479,US,en,1
3200172938397785479,CA,fr,1
3526127092192233840,US,en,1
4040416869804762610,US,en,0
4003711242342483671,US,en,0
4344112486038812768,US,en,0
3132880188521898551,US,en,1
4007663311489098664,US,en,0
4433793718521396486,US,en,1
1360219072244041386,US,en,1
2490449075130048893,US,en,0
1318428375927179916,US,en,0
4035248072511074930,CA,en,0
1819230938333156387,US,en,0
3152418039532059826,CA,en,0
667426455577952663,US,en,1
3062348975426437179,US,en,0
2505119666923414655,US,en,0
937059106691523770,US,en,1
189741984095115235,CA,en,0
2383314896410638632,US,en,1
2470580613993435531,CA,en,1
3329765536247848578,BR,pt,1
268657971244175810,US,en,1
2364057719265672006,CA,fr,0
3857956403186746978,US,en,0
4110554522680710045,US,en,0
2831799900016832042,US,en,1
289860540430394683,US,en,1
1771164790027302425,BR,pt,1
3561118090912916566,US,en,0
1270371706815478418,US,en,1
2025815343770984773,US,en,1
3131492428884617040,CA,fr,0
2332051345082093040,US,en,0
2205126319307787918,US,en,0
2070142027978036447,US,en,0
69331182548459435,US,en,0
4510529680661246229,US,en,1
2606773967840732412,US,en,0
2068895658873464988,US,en,0
3628977642446659536,US,en,1
